ActivityType	DateTime	TransDateTime	Symbol	OrderActionSource	InternalOrderID	ServiceOrderID	OrderType	Quantity	BuySell	Price	Price2	OrderStatus	FillPrice	FilledQuantity	TradeAccount	OpenClose	ParentInternalOrderID	PositionQuantity	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	Note	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username
Orders	2022-12-20 08:19:03	2022-12-20 08:19:03	@ES#	Micro E-mini S&P 500			Limit	1	Buy	3821.00		Filled	3821.00	1	tradovate	Close			5362594051				0			Day	
Orders	2022-12-20 08:20:01	2022-12-20 08:20:01	@ES#	Micro E-mini S&P 500			Limit	1	Sell	3818.50		Filled	3818.50	1	tradovate	Close			5362594060				0			Day	
Orders	2022-12-20 08:33:19	2022-12-20 08:33:19	@ES#	Micro E-mini S&P 500			Limit	1	Buy	3816.25		Filled	3816.25	1	tradovate	Close			5362594071				0			Day	
Orders	2022-12-20 08:34:45	2022-12-20 08:34:45	@ES#	Micro E-mini S&P 500			Limit	1	Sell	3814.50		Filled	3814.50	1	tradovate	Close			5362594080				0			Day	
Orders	2022-12-20 08:39:25	2022-12-20 08:39:25	@ES#	Micro E-mini S&P 500			Limit	1	Sell	3816.75		Filled	3816.75	1	tradovate	Close			5362594091				0			Day	
Orders	2022-12-20 08:43:43	2022-12-20 08:43:43	@ES#	Micro E-mini S&P 500			Limit	1	Buy	3821.00		Filled	3821.00	1	tradovate	Close			5362594100				0			Day	
Orders	2022-12-20 08:54:18	2022-12-20 08:54:18	@ES#	Micro E-mini S&P 500			Limit	1	Sell	3839.25		Filled	3839.25	1	tradovate	Close			5362594111				0			Day	
Orders	2022-12-20 08:54:24	2022-12-20 08:54:24	@ES#	Micro E-mini S&P 500			Limit	1	Sell	3839.25		Filled	3839.25	1	tradovate	Close			5362594120				0			Day	
Orders	2022-12-20 08:55:33	2022-12-20 08:55:33	@ES#	Micro E-mini S&P 500			Limit	2	Buy	3842.25		Filled	3842.25	2	tradovate	Close			5362594129				0			Day	
Orders	2022-12-20 08:56:59	2022-12-20 08:56:59	@ES#	Micro E-mini S&P 500			Limit	1	Sell	3840.25		Filled	3840.25	1	tradovate	Close			5362594142				0			Day	
Orders	2022-12-20 08:56:59	2022-12-20 08:56:59	@ES#	Micro E-mini S&P 500			Limit	1	Sell	3840.00		Filled	3840.00	1	tradovate	Close			5362594151				0			Day	
Orders	2022-12-20 08:57:09	2022-12-20 08:57:09	@ES#	Micro E-mini S&P 500			Limit	1	Sell	3839.75		Filled	3839.75	1	tradovate	Close			5362594160				0			Day	
Orders	2022-12-20 09:13:51	2022-12-20 09:13:51	@ES#	Micro E-mini S&P 500			Limit	1	Buy	3839.75		Filled	3839.75	1	tradovate	Close			5362594169				0			Day	
Orders	2022-12-20 09:13:51	2022-12-20 09:13:51	@ES#	Micro E-mini S&P 500			Limit	1	Buy	3839.75		Filled	3839.75	1	tradovate	Close			5362594180				0			Day	
Orders	2022-12-20 09:13:51	2022-12-20 09:13:51	@ES#	Micro E-mini S&P 500			Limit	1	Buy	3839.75		Filled	3839.75	1	tradovate	Close			5362594191				0			Day	
Orders	2022-12-20 09:15:22	2022-12-20 09:15:22	@ES#	Micro E-mini S&P 500			Limit	1	Buy	3840.50		Filled	3840.50	1	tradovate	Close			5362594202				0			Day	
Orders	2022-12-20 09:23:35	2022-12-20 09:23:35	@ES#	Micro E-mini S&P 500			Limit	1	Buy	3838.75		Filled	3838.75	1	tradovate	Close			5362594223				0			Day	
Orders	2022-12-20 09:24:06	2022-12-20 09:24:06	@ES#	Micro E-mini S&P 500			Limit	1	Buy	3839.25		Filled	3839.25	1	tradovate	Close			5362594232				0			Day	
